Country,Period,Sex,Value
Turkiye,2020,Female,19.2
Turkiye,2020,Both sexes,30.7
Turkiye,2020,Male,42.1
Tunisia,2020,Female,1.7
Tunisia,2020,Both sexes,21.2
Tunisia,2020,Male,40.7
Turkmenistan,2020,Female,0.5
Turkmenistan,2020,Male,11.1
Turkmenistan,2020,Both sexes,5.8
Tuvalu,2020,Female,19.7
Tuvalu,2020,Both sexes,34.8
Tuvalu,2020,Male,50
Uganda,2020,Male,12.1
Uganda,2020,Female,2.3
Uganda,2020,Both sexes,7.2
Ukraine,2020,Female,11.7
Ukraine,2020,Both sexes,25.9
Ukraine,2020,Male,40.1
United Arab Emirates,2020,Male,16.4
United Arab Emirates,2020,Female,2.7
United Arab Emirates,2020,Both sexes,9.6
United Kingdom of Great Britain and Northern Ireland,2020,Female,13.7
United Kingdom of Great Britain and Northern Ireland,2020,Both sexes,15.6
United Kingdom of Great Britain and Northern Ireland,2020,Male,17.4
United Republic of Tanzania,2020,Female,1.4
United Republic of Tanzania,2020,Male,14.3
United Republic of Tanzania,2020,Both sexes,7.9
United States of America,2020,Female,17.5
United States of America,2020,Both sexes,21.2
United States of America,2020,Male,24.9
Uruguay,2020,Female,18.4
Uruguay,2020,Both sexes,21.5
Uruguay,2020,Male,24.7
Uzbekistan,2020,Female,1
Uzbekistan,2020,Both sexes,11.1
Uzbekistan,2020,Male,21.2
Viet Nam,2020,Female,1.1
Viet Nam,2020,Both sexes,22.2
Viet Nam,2020,Male,43.4
Yemen,2020,Both sexes,17.6
Yemen,2020,Male,28.3
Yemen,2020,Female,6.9
Zambia,2020,Both sexes,13.2
Zambia,2020,Female,2.8
Zambia,2020,Male,23.6
Zimbabwe,2020,Female,0.9
Zimbabwe,2020,Both sexes,11.1
Zimbabwe,2020,Male,21.3
